Student,stream_normalised,performance_als_normalised,Gender,age_normalised,Course
76,0.75,0.5417,1,0.3571,2
13,0.5,0.8333,0,0.4286,3
177,0.25,0.5833,1,0.3571,2
47,1.0,0.2917,1,0.1429,5
185,0.25,0.6667,0,0.2857,4
151,0.25,0.5833,0,0.0714,1
90,0.5,0.5417,1,0.1429,2
105,0.25,0.75,1,0.6429,4
32,0.25,0.5,1,0.2143,5
85,1.0,0.6667,0,0.3571,2
63,0.5,0.4583,1,0.4286,5
146,0.25,0.8333,1,0.2857,5
104,0.25,0.4583,1,0.2857,1
153,0.25,0.625,1,0.2857,1
17,0.25,1.0,1,0.2857,5
184,0.25,0.7917,0,0.3571,5
181,0.5,0.5,1,0.0714,4
70,1.0,0.4583,1,0.2857,4
187,0.25,0.4583,1,0.3571,1
109,0.75,0.4583,1,0.7143,2
67,0.5,0.5417,1,0.2857,1
168,0.25,0.4583,1,0.4286,1
137,1.0,0.5,1,0.5,2
173,0.25,0.4583,1,0.4286,1
154,0.25,0.4583,1,0.4286,1
195,1.0,0.4167,0,0.2143,2
65,0.5,0.5417,0,0.2857,3
126,0.25,0.4583,1,0.2143,4
180,0.25,0.4583,1,0.5,5
44,0.5,0.375,1,0.4286,3
66,0.75,0.4583,1,0.3571,4
86,0.75,0.75,0,0.2857,4
163,0.25,0.625,1,0.4286,1
189,0.25,0.5,1,0.3571,1
77,0.25,0.4583,1,0.2143,5
53,1.0,0.5,0,0.5,2
107,1.0,0.5417,1,0.0714,2
190,0.25,0.75,1,0.5714,5
186,0.25,0.75,1,0.5,2
73,0.5,0.8333,1,0.2143,5
45,0.75,0.6667,0,0.5,2
74,0.5,0.5417,1,0.4286,1
160,0.5,0.4583,1,0.4286,4
39,1.0,0.4583,1,0.4286,2
143,0.25,0.4583,1,0.3571,1
54,1.0,0.375,0,0.9286,5
123,0.0,0.375,1,0.5,5
172,1.0,0.5,0,0.2857,2
199,1.0,0.4583,0,0.4286,4
121,0.0,0.5417,1,0.0714,3
3,1.0,0.8333,0,0.2143,2
171,1.0,0.7083,0,0.2143,2
141,0.25,0.6667,0,0.6429,4
49,0.5,0.5,0,0.5,2
97,0.75,0.5417,1,0.0714,4
37,0.25,0.5,1,0.5714,1
139,0.25,0.5417,1,0.0714,3
164,0.25,0.75,1,0.3571,4
12,1.0,0.75,0,0.5,3
33,1.0,0.75,1,0.3571,2
